#OTU ID	BC01	BC02	BC03	BC04	BC05	BC06	BC07	BC08	BC09	BC14	BC15	BC16	BC17	BC18	BC19	BC20	BC21	BC22	BC23	BC24	BC25	BC26	BC27	BC28	BC29	BC30	BC31	BC32	BC33	Bc34	Bc35	Bc36	Bc37	BC38	BC39	BC40	BC41	BC42	BC43	BC44	BC45	BC46	BC47	BC49	BC50	BC52	BC53	BC54
OTU_10358	3	20	5	0	5	0	0	0	5	0	13	1	0	0	7	3	1	1	1	1	0	8	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	1	1
OTU_3493	1	0	2	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_7948	1	0	0	0	0	0	0	0	0	0	2	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
OTU_16	1096	423	238	180	497	461	323	422	818	466	5649	1995	110	181	405	295	350	2459	2925	142	520	554	1271	72	177	171	188	246	125	43	206	27	2082	22	201	216	171	114	82	195	104	378	687	13	169	402	485	512
OTU_778	438	115	138	104	196	188	210	188	154	229	1856	819	152	172	460	268	147	1702	916	355	245	641	121	53	362	306	252	386	305	33	13	66	199	63	450	370	247	234	303	339	237	389	323	26	273	264	395	250
OTU_8761	8	1	2	0	1	2	1	6	2	0	41	18	6	2	6	3	4	17	44	14	3	14	5	0	2	9	3	8	1	0	3	0	2	1	2	5	2	1	3	2	2	7	10	1	4	11	6	2
OTU_5054	27	4	4	14	15	28	5	13	11	27	132	40	6	16	23	13	10	143	104	11	10	36	19	6	28	41	25	34	58	0	4	24	7	6	55	66	28	17	35	32	16	67	76	4	34	33	35	46
OTU_8762	73	32	14	19	14	10	20	33	42	32	231	109	19	32	153	49	13	135	120	48	28	102	44	33	82	29	47	37	57	5	7	7	19	8	91	101	46	52	83	76	43	86	63	2	27	57	41	72
OTU_3693	57	2	6	10	22	1	2	15	17	30	790	59	2	1	32	11	11	101	124	3	26	16	5	0	5	13	18	15	11	3	0	1	37	0	6	8	6	5	15	10	5	8	7	2	8	17	25	30
OTU_26	132	21	61	47	127	69	64	106	81	147	1671	593	43	52	116	75	121	1531	1024	47	210	104	451	17	97	33	38	68	43	1	295	1136	376	6	62	36	49	48	52	64	47	101	73	4	43	81	52	45
OTU_80	43	14	4	1	13	0	0	1	57	7	12	34	3	0	5	0	9	66	86	3	18	10	194	0	0	2	6	1	0	0	0	0	0	0	0	0	1	0	0	0	1	1	2	0	0	0	0	0
OTU_12125	62	19	9	7	40	12	23	16	23	31	203	74	13	32	36	39	12	241	174	73	29	41	37	15	20	30	20	25	33	8	2	11	7	4	42	26	18	24	30	38	18	25	29	1	9	28	17	23
OTU_536	294	139	86	99	127	193	61	147	131	122	1106	468	55	92	288	109	41	400	713	172	102	320	113	72	215	221	197	362	132	63	27	14	162	30	224	220	137	123	170	212	134	288	227	17	161	214	351	214
OTU_9006	60	50	45	36	44	41	11	44	14	37	266	49	10	35	58	14	1	172	81	40	25	78	15	14	37	47	46	97	69	0	0	0	51	10	56	68	69	25	44	41	34	55	64	4	28	30	60	37
OTU_7089	8	4	0	1	1	2	1	4	0	5	23	39	6	5	16	22	2	14	20	7	3	25	6	0	9	10	13	17	6	0	0	0	1	0	12	7	4	6	7	9	6	8	3	1	5	5	2	9
OTU_6127	209	50	31	37	37	37	23	44	33	56	429	222	48	18	195	52	31	282	524	80	98	182	387	9	36	49	26	63	61	4	33	8	22	13	48	48	49	25	49	51	60	48	39	8	36	46	48	25
OTU_22701	12	6	14	3	2	5	2	6	7	7	59	16	2	3	13	6	2	22	27	4	8	16	6	5	4	10	2	7	8	6	3	17	1	0	3	8	6	4	7	15	10	20	3	1	4	16	8	14
OTU_44	47	36	7	14	53	34	176	39	43	23	311	187	15	18	20	40	18	377	206	31	67	22	7	6	7	43	27	19	2	306	10	40	178	2	21	15	21	13	4	20	9	19	18	2	18	24	135	21
OTU_15532	18	5	5	3	3	3	4	2	0	1	31	21	0	4	7	2	1	22	23	0	6	7	3	1	11	7	2	4	7	0	1	0	0	0	4	8	2	5	6	8	10	6	4	0	8	5	6	0
OTU_20	345	122	98	75	135	135	169	194	191	208	2987	1319	77	74	203	128	273	1754	1953	122	361	176	429	22	95	150	130	174	68	71	943	2016	931	28	117	110	108	132	100	173	78	162	211	11	93	140	175	210
OTU_2657	142	90	44	12	16	32	17	46	50	74	752	234	18	63	109	45	49	635	222	51	75	96	56	11	74	89	59	81	48	16	19	7	75	7	56	68	53	49	43	57	33	56	67	3	40	78	81	47
OTU_60	41	0	2	0	18	1	0	0	25	5	19	1	0	0	2	1	10	4	5	1	1	5	0	0	2	1	0	0	0	41	370	673	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_730	405	132	90	95	91	271	97	141	98	123	1133	352	73	101	240	102	118	634	758	135	132	379	199	81	275	264	228	325	260	139	6	126	128	20	358	290	215	182	227	276	220	281	207	8	169	234	325	243
OTU_29	191	90	119	43	66	39	403	86	171	156	1101	438	55	85	191	128	118	921	828	42	177	400	444	23	86	37	49	66	23	81	143	45	630	6	87	48	62	38	49	75	45	74	100	11	76	32	142	100
OTU_1467	105	56	71	24	43	29	109	61	62	45	700	228	10	41	113	57	56	280	342	69	45	116	77	18	141	53	75	91	64	67	20	22	94	12	72	96	53	45	51	51	61	116	78	2	89	75	120	104
OTU_6866	52	122	10	1	43	0	13	8	34	3	68	81	4	3	42	34	15	63	103	10	8	24	3	1	4	4	22	12	9	226	41	5	0	0	7	4	4	7	5	6	3	2	32	0	5	7	12	5
OTU_9062	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_3043	86	85	60	15	26	21	47	36	53	44	425	154	40	50	209	31	34	171	152	57	29	184	67	14	130	82	77	99	73	58	62	12	39	4	81	73	59	51	55	63	51	71	76	2	63	89	106	63
OTU_3650	52	22	61	6	53	6	15	34	52	69	995	199	5	71	61	23	84	462	378	46	62	55	38	25	31	34	21	52	22	26	65	32	116	3	37	43	23	30	43	43	29	39	50	2	25	22	22	23
OTU_1246	371	100	54	48	75	128	83	119	60	98	1080	371	45	81	139	124	49	426	297	89	70	244	366	45	158	102	111	225	82	28	120	11	141	15	163	125	107	65	103	123	77	279	176	2	112	90	192	133
OTU_9388	66	19	11	11	34	6	18	3	30	25	176	66	31	12	69	24	15	150	137	36	26	50	14	9	19	20	12	7	13	5	3	1	6	7	16	17	7	9	20	8	14	9	18	0	9	14	23	3
OTU_4349	90	36	50	12	53	28	23	31	31	38	353	142	10	37	85	42	23	220	234	60	43	70	40	21	52	41	29	77	31	32	8	12	30	9	61	58	27	20	33	59	33	52	64	4	48	26	51	56
OTU_1231	204	73	66	35	124	88	26	64	118	74	756	263	32	62	217	54	45	464	433	104	99	282	57	22	87	83	109	142	113	15	12	7	73	11	128	119	90	66	76	118	73	142	139	4	135	99	188	144
OTU_3753	83	103	36	6	29	31	18	28	37	44	326	172	25	51	134	72	23	214	211	54	74	169	30	7	78	61	36	74	65	44	12	15	17	8	89	27	47	36	57	67	54	63	70	5	29	53	43	56
OTU_7995	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
OTU_1013	84	42	21	40	47	30	23	67	88	47	639	161	9	53	125	33	24	347	137	34	52	118	40	11	61	60	81	140	63	58	29	6	98	8	89	92	80	53	86	98	64	77	63	3	67	89	111	91
OTU_6215	18	18	20	18	6	14	1	26	8	16	164	57	6	21	19	14	7	123	76	19	19	44	10	15	50	26	40	65	38	0	32	32	7	1	40	48	25	25	42	47	21	36	25	1	21	37	47	38
OTU_1750	80	113	47	10	26	27	28	48	70	45	627	260	41	39	118	42	28	237	205	53	28	178	64	12	106	112	101	103	68	16	18	26	25	9	114	97	83	54	95	108	80	119	113	1	92	87	112	105
OTU_312	2	0	7	2	0	0	4	0	3	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_5840	45	11	5	16	4	4	0	12	4	17	112	55	8	10	33	24	20	46	31	6	8	37	12	0	38	28	27	35	8	3	2	23	1	3	23	35	23	15	24	31	16	50	31	1	23	35	47	19
OTU_33693	9	0	1	2	0	1	1	0	1	6	27	5	1	2	3	0	2	12	11	2	1	7	4	0	6	16	1	1	9	0	2	1	1	0	6	0	5	0	1	9	3	2	2	0	1	14	11	5
OTU_1498	174	31	54	18	22	34	23	84	55	208	1329	285	32	76	104	54	82	807	456	84	114	142	375	42	126	64	95	113	77	19	18	18	112	12	82	86	48	44	96	87	69	104	141	5	74	55	127	73
OTU_1438	390	201	166	28	69	91	263	93	215	79	952	520	66	79	296	91	85	563	678	178	153	302	354	60	233	107	118	159	79	38	20	29	71	12	114	149	86	68	83	139	83	121	86	4	109	94	187	163
OTU_385	3	1	2	0	19	0	0	0	0	0	456	107	13	0	9852	29	15	196	171	9	32	4	0	0	0	6	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	5	0	0
OTU_1703	274	168	100	44	67	46	125	79	67	143	1077	431	86	128	238	162	84	526	468	151	198	319	88	44	229	150	179	205	132	48	48	44	71	16	175	151	115	79	109	177	119	179	135	4	118	96	176	146
OTU_1048	106	45	29	34	74	26	84	39	50	46	647	209	30	43	118	54	47	318	324	76	62	139	65	18	101	89	60	99	42	32	24	49	69	11	64	73	39	40	65	61	58	76	69	3	65	80	150	118
OTU_1407	1	2	0	0	1	0	0	0	0	0	2	1	0	1	8	0	0	2	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	2	0	0	1	0	0	1	0	3	0
OTU_1489	217	67	59	30	61	34	20	69	67	98	874	294	28	40	124	58	43	686	393	43	44	200	78	26	83	90	93	160	59	41	16	7	107	8	118	89	56	60	60	77	78	164	125	5	49	132	137	93
OTU_19344	1	2	0	1	2	0	0	1	2	0	7	3	0	3	5	1	3	5	7	1	0	8	2	1	2	7	3	20	0	0	0	0	2	1	14	6	2	3	5	12	5	0	2	0	7	8	17	3
OTU_21971	6	1	1	0	2	1	1	2	6	2	149	15	0	11	4	0	2	20	45	4	3	7	9	8	19	1	1	7	2	0	5	2	6	0	2	0	1	5	0	4	2	1	1	0	2	2	22	8
OTU_2614	97	100	55	21	76	25	37	58	63	58	478	185	21	52	139	31	43	297	264	72	41	148	92	23	102	154	73	185	53	40	45	14	48	15	91	101	47	63	87	119	67	87	94	4	58	77	135	72
OTU_3573	149	74	54	23	50	81	24	33	60	40	457	238	24	43	141	43	37	351	427	66	79	153	53	39	92	119	55	116	51	14	37	22	39	17	114	95	47	63	75	100	62	96	56	8	48	64	105	91
