Target,Fold,Group,PC,Variable,Loading
ZOTUs,1,Sediment,PC2,Clay Content,0.6729156591692225
ZOTUs,1,Sediment,PC2,Silt Content,-0.2516414518067208
ZOTUs,1,Sediment,PC2,Sand Content,-0.45624189147945043
ZOTUs,1,Major,PC1,Na2O,0.2581481601417942
ZOTUs,1,Major,PC1,MgO,0.35229930036913976
ZOTUs,1,Major,PC1,Al2O3,0.48200556638533315
ZOTUs,1,Major,PC1,SiO2,-0.3686925553250503
ZOTUs,1,Major,PC1,K2O,0.476058036149961
ZOTUs,1,Major,PC1,CaO,-0.12207197069016212
ZOTUs,1,Major,PC1,Fe2O3,0.44659639965535236
ZOTUs,1,Major,PC2,Na2O,0.6284899118515808
ZOTUs,1,Major,PC2,MgO,-0.5402210212780189
ZOTUs,1,Major,PC2,Al2O3,-0.020835072701980595
ZOTUs,1,Major,PC2,SiO2,-0.2680351750793138
ZOTUs,1,Major,PC2,K2O,-0.1620288976969957
ZOTUs,1,Major,PC2,CaO,-0.4549338396066249
ZOTUs,1,Major,PC2,Fe2O3,-0.08755890261818738
ZOTUs,1,Trace,PC1,Sc,-0.06780758703128749
ZOTUs,1,Trace,PC1,Ti,-0.35083570786414886
ZOTUs,1,Trace,PC1,V,-0.3177758025848759
ZOTUs,1,Trace,PC1,Cr,-0.3708844301186879
ZOTUs,1,Trace,PC1,Mn,0.42550921586889434
ZOTUs,1,Trace,PC1,Co,0.21090793562521537
ZOTUs,1,Trace,PC1,Ni,0.4423180334320727
ZOTUs,1,Trace,PC1,Cu,0.3844653015441727
ZOTUs,1,Trace,PC1,Zn,0.10434545890389782
ZOTUs,1,Trace,PC1,Ga,0.057398961813967336
ZOTUs,1,Trace,PC1,As,-0.03669234147956296
ZOTUs,1,Trace,PC1,Rb,-0.2219272664441494
ZOTUs,1,Trace,PC2,Sc,0.310153394289865
ZOTUs,1,Trace,PC2,Ti,0.33202166853631854
ZOTUs,1,Trace,PC2,V,0.3525118787933048
ZOTUs,1,Trace,PC2,Cr,0.18841939848112405
ZOTUs,1,Trace,PC2,Mn,0.08055641109870021
ZOTUs,1,Trace,PC2,Co,0.37770956913909937
ZOTUs,1,Trace,PC2,Ni,0.04821946491591378
ZOTUs,1,Trace,PC2,Cu,0.17052517336933187
ZOTUs,1,Trace,PC2,Zn,0.4698892875660945
ZOTUs,1,Trace,PC2,Ga,0.3728815745952473
ZOTUs,1,Trace,PC2,As,-0.25011858197217546
ZOTUs,1,Trace,PC2,Rb,-0.17563105474523044
ZOTUs,1,Organic,PC1,Chlorophyll a,-0.25214562788675715
ZOTUs,1,Organic,PC1,Depth,-0.20424773207953584
