Target,Fold,Model,Feature,MeanAbsSHAP
simpson,1,RF,Sediment_PC1,0.0003080471371067195
simpson,1,RF,Sediment_PC2,0.0005951704699624169
simpson,1,RF,Major_PC1,0.0014184880290525894
simpson,1,RF,Major_PC2,0.0041693993727891345
simpson,1,RF,Trace_PC1,0.0002910894854215202
simpson,1,RF,Trace_PC2,0.001122894869465187
simpson,1,RF,Organic_PC1,0.001050134449582325
simpson,1,RF,Organic_PC2,0.0029031708584876473
simpson,1,LightGBM,Sediment_PC1,0.0
simpson,1,LightGBM,Sediment_PC2,0.0
simpson,1,LightGBM,Major_PC1,0.0
simpson,1,LightGBM,Major_PC2,0.0
simpson,1,LightGBM,Trace_PC1,0.0
simpson,1,LightGBM,Trace_PC2,0.0
simpson,1,LightGBM,Organic_PC1,0.0
simpson,1,LightGBM,Organic_PC2,0.0
simpson,2,XGBoost,Sediment_PC1,0.00094738753978163
simpson,2,XGBoost,Sediment_PC2,0.0015196650056168437
simpson,2,XGBoost,Major_PC1,0.0005048011080361903
simpson,2,XGBoost,Major_PC2,0.0005309613770805299
simpson,2,XGBoost,Trace_PC1,0.0015889517962932587
simpson,2,XGBoost,Trace_PC2,0.00037224855623207986
simpson,2,XGBoost,Organic_PC1,0.001098011271096766
simpson,2,XGBoost,Organic_PC2,0.002950162859633565
simpson,2,RF,Sediment_PC1,0.00037570964890032155
simpson,2,RF,Sediment_PC2,0.0013663865009669765
simpson,2,RF,Major_PC1,0.0006538962523220572
simpson,2,RF,Major_PC2,0.000535358957994079
simpson,2,RF,Trace_PC1,0.0012230629492637232
simpson,2,RF,Trace_PC2,0.00021615384625378836
simpson,2,RF,Organic_PC1,0.0003902103041016697
simpson,2,RF,Organic_PC2,0.0020092076837981716
simpson,2,LightGBM,Sediment_PC1,0.0001448846773203501
simpson,2,LightGBM,Sediment_PC2,0.00227690861718302
simpson,2,LightGBM,Major_PC1,0.0
simpson,2,LightGBM,Major_PC2,0.0
simpson,2,LightGBM,Trace_PC1,0.0
simpson,2,LightGBM,Trace_PC2,0.00010942892669047027
simpson,2,LightGBM,Organic_PC1,0.001502417667374516
simpson,2,LightGBM,Organic_PC2,0.003410532405641468
Rotaliida,0,XGBoost,Sediment_PC1,1490.933349609375
Rotaliida,0,XGBoost,Sediment_PC2,657.9421997070312
