Target,Fold,Model,Observed,Predicted,Residual
simpson,0,LightGBM,0.915880303736,0.9373535447650484,-0.02147324102904835
simpson,0,LightGBM,0.946955541958,0.9373535447650484,0.009601997192951628
simpson,0,LightGBM,0.939086789154,0.9373535447650484,0.0017332443889516158
simpson,0,LightGBM,0.93734564301,0.9373535447650484,-7.901755048389525e-06
simpson,0,LightGBM,0.91871745674,0.9373535447650484,-0.018636088025048347
simpson,0,LightGBM,0.913005157324,0.9373535447650484,-0.02434838744104839
simpson,0,LightGBM,0.918504749808,0.9373535447650484,-0.018848794957048387
simpson,0,LightGBM,0.927163877777,0.9373535447650484,-0.010189666988048351
simpson,0,LightGBM,0.929934682689,0.9373535447650484,-0.00741886207604836
simpson,0,LightGBM,0.925982245381,0.9373535447650484,-0.01137129938404835
simpson,0,LightGBM,0.928229190456,0.9373535447650484,-0.009124354309048344
simpson,0,LightGBM,0.92155704282,0.9373535447650484,-0.015796501945048447
simpson,1,LightGBM,0.92570627849,0.930951182906692,-0.005244904416692009
simpson,1,LightGBM,0.925637403742,0.930951182906692,-0.005313779164692001
simpson,1,LightGBM,0.940360223354,0.930951182906692,0.009409040447308059
simpson,1,LightGBM,0.928486534963,0.930951182906692,-0.0024646479436919444
simpson,1,LightGBM,0.92646324566,0.930951182906692,-0.004487937246691942
simpson,1,LightGBM,0.934611334229,0.930951182906692,0.003660151322308014
simpson,1,LightGBM,0.937913017463,0.930951182906692,0.006961834556308055
simpson,1,LightGBM,0.93414596178,0.930951182906692,0.0031947788733079907
simpson,1,LightGBM,0.928669951412,0.930951182906692,-0.0022812314946919487
simpson,1,LightGBM,0.95011769768,0.930951182906692,0.019166514773307997
simpson,1,LightGBM,0.951985270162,0.930951182906692,0.021034087255307976
simpson,2,LightGBM,0.939690472578,0.9306911967233245,0.008999275854675526
simpson,2,LightGBM,0.938714247888,0.9258025040451516,0.012911743842848322
simpson,2,LightGBM,0.950162335254,0.9260892757857788,0.024073059468221136
simpson,2,LightGBM,0.939592494505,0.9299397885952988,0.009652705909701242
simpson,2,LightGBM,0.933224294126,0.932934190474024,0.00029010365197601473
simpson,2,LightGBM,0.941820442877,0.9345417095328444,0.007278733344155519
simpson,2,LightGBM,0.945062515765,0.9296530168546716,0.01540949891032839
zotu,0,LightGBM,1677.0,2997.8888888888887,-1320.8888888888887
zotu,0,LightGBM,1700.0,2997.8888888888887,-1297.8888888888887
zotu,0,LightGBM,1716.0,2997.8888888888887,-1281.8888888888887
zotu,0,LightGBM,1883.0,2997.8888888888887,-1114.8888888888887
zotu,0,LightGBM,2855.0,2997.8888888888887,-142.8888888888887
zotu,0,LightGBM,1811.0,2997.8888888888887,-1186.8888888888887
zotu,0,LightGBM,6022.0,2997.8888888888887,3024.1111111111113
zotu,0,LightGBM,5812.0,2997.8888888888887,2814.1111111111113
zotu,0,LightGBM,2168.0,2997.8888888888887,-829.8888888888887
zotu,0,LightGBM,2313.0,2997.8888888888887,-684.8888888888887
zotu,0,LightGBM,4398.0,2997.8888888888887,1400.1111111111113
zotu,0,LightGBM,2950.0,2997.8888888888887,-47.88888888888869
zotu,0,LightGBM,1465.0,2997.8888888888887,-1532.8888888888887
zotu,0,LightGBM,2825.0,2997.8888888888887,-172.8888888888887
zotu,0,LightGBM,2449.0,2997.8888888888887,-548.8888888888887
zotu,0,LightGBM,3267.0,2997.8888888888887,269.1111111111113
zotu,0,LightGBM,3248.0,2997.8888888888887,250.1111111111113
zotu,0,LightGBM,2242.0,2997.8888888888887,-755.8888888888887
zotu,0,LightGBM,1028.0,2997.8888888888887,-1969.8888888888887
zotu,0,LightGBM,1244.0,2997.8888888888887,-1753.8888888888887
zotu,0,LightGBM,1054.0,2997.8888888888887,-1943.8888888888887
zotu,0,LightGBM,1539.0,2997.8888888888887,-1458.8888888888887
zotu,0,LightGBM,881.0,2997.8888888888887,-2116.8888888888887
zotu,0,LightGBM,2544.0,2997.8888888888887,-453.8888888888887
zotu,0,LightGBM,2512.0,2997.8888888888887,-485.8888888888887
zotu,0,LightGBM,2437.0,2997.8888888888887,-560.8888888888887
zotu,0,LightGBM,2230.0,2997.8888888888887,-767.8888888888887
zotu,0,LightGBM,2454.0,2997.8888888888887,-543.8888888888887
