Target,Model,Feature,mean,std,Importance_CV
simpson,RF,Trace_PC1,0.0006766064344539668,0.00048638440785138095,0.7188586792614552
simpson,RF,Trace_PC2,0.0005531034298513999,0.0004961918159626838,0.8971049340554509
simpson,XGBoost,Major_PC1,0.0012107235767567666,0.0011373142105665813,0.9393673604780778
simpson,XGBoost,Major_PC2,0.0024616552012351333,0.0016833306639974727,0.6838206517114432
simpson,XGBoost,Organic_PC1,0.0012122126257356999,0.0011395483567587716,0.9400564988070242
simpson,XGBoost,Organic_PC2,0.0027374132187105334,0.001687917622382216,0.6166104594093086
simpson,XGBoost,Sediment_PC1,0.0008850000449455667,0.00024934969936441957,0.2817510584191622
simpson,XGBoost,Sediment_PC2,0.0015218813787214,0.0010175885167166912,0.668638522649914
simpson,XGBoost,Trace_PC1,0.0007585277198813332,0.0007193510887597664,0.9483517476095722
simpson,XGBoost,Trace_PC2,0.0008615413583659333,0.0005977070048958808,0.6937647265472416
zotu,LightGBM,Major_PC1,0.0,0.0,
zotu,LightGBM,Major_PC2,36.55425121463919,63.31382033639141,1.732050807568877
zotu,LightGBM,Organic_PC1,35.99651734896401,62.34779694394023,1.7320508075688776
zotu,LightGBM,Organic_PC2,7.87446132455349,13.638967096362764,1.7320508075688774
zotu,LightGBM,Sediment_PC1,77.63770012571409,134.47244120053344,1.7320508075688776
zotu,LightGBM,Sediment_PC2,11.050101733075017,19.139337630490836,1.7320508075688774
zotu,LightGBM,Trace_PC1,0.0,0.0,
zotu,LightGBM,Trace_PC2,67.38551257138089,116.71513146770297,1.732050807568877
zotu,RF,Major_PC1,125.5074472784948,64.1178523367823,0.5108689064044779
zotu,RF,Major_PC2,80.53977679857097,21.522485108749127,0.26722802029333415
zotu,RF,Organic_PC1,213.16939213000612,189.04400853236464,0.8868252925216953
zotu,RF,Organic_PC2,137.9729633693037,92.76818022064455,0.6723649181349951
zotu,RF,Sediment_PC1,66.60804262593508,7.575429676630541,0.11373145611219186
zotu,RF,Sediment_PC2,22.373839596271477,19.79125183430933,0.8845710969344518
zotu,RF,Trace_PC1,72.38099611829362,33.75824041162222,0.4663964607015147
zotu,RF,Trace_PC2,72.47049883240418,95.47175245003945,1.3173878197089293
zotu,XGBoost,Major_PC1,230.40079752604166,176.82036763792232,0.7674468558119324
zotu,XGBoost,Major_PC2,131.38602701822916,30.981122388882767,0.23580226217346759
zotu,XGBoost,Organic_PC1,213.81888326009116,84.88186987559487,0.3969802319673694
zotu,XGBoost,Organic_PC2,281.07327524820965,314.5922109152917,1.1192533713405595
zotu,XGBoost,Sediment_PC1,166.0989227294922,24.039275939590368,0.14472866858227976
zotu,XGBoost,Sediment_PC2,90.6619987487793,49.13277476306119,0.5419335051194504
zotu,XGBoost,Trace_PC1,152.38976542154947,107.21417045564306,0.7035523032603991
zotu,XGBoost,Trace_PC2,98.69342931111653,112.46158963328703,1.139504325853025
