Target,Model,Group,MeanAbsSHAP,Contribution
simpson,RF,Trace Element Gradient (PC2),0.0005531034298513999,0.06792987053037725
simpson,XGBoost,Major Element Gradient (PC1),0.0012107235767567666,0.10393409227113645
simpson,XGBoost,Major Element Gradient (PC2),0.0024616552012351333,0.21131982868480587
simpson,XGBoost,Organic-Depth Gradient (PC1),0.0012122126257356999,0.10406191909878217
simpson,XGBoost,Organic-Depth Gradient (PC2),0.0027374132187105334,0.23499216792310565
simpson,XGBoost,Sediment Gradient (PC1),0.0008850000449455667,0.07597248298222534
simpson,XGBoost,Sediment Gradient (PC2),0.0015218813787214,0.13064531217395434
simpson,XGBoost,Trace Element Gradient (PC1),0.0007585277198813332,0.06511551566505877
simpson,XGBoost,Trace Element Gradient (PC2),0.0008615413583659333,0.07395868120093145
zotu,LightGBM,Major Element Gradient (PC1),0.0,0.0
zotu,LightGBM,Major Element Gradient (PC2),36.55425121463919,0.1545643814426072
zotu,LightGBM,Organic-Depth Gradient (PC1),35.99651734896401,0.152206084196919
zotu,LightGBM,Organic-Depth Gradient (PC2),7.87446132455349,0.03329602449457142
zotu,LightGBM,Sediment Gradient (PC1),77.63770012571409,0.3282798223959208
zotu,LightGBM,Sediment Gradient (PC2),11.050101733075017,0.04672376214798852
zotu,LightGBM,Trace Element Gradient (PC1),0.0,0.0
zotu,LightGBM,Trace Element Gradient (PC2),67.38551257138089,0.28492992532199307
zotu,RF,Major Element Gradient (PC1),125.5074472784948,0.1586647343261306
zotu,RF,Major Element Gradient (PC2),80.53977679857097,0.10181724324354671
zotu,RF,Organic-Depth Gradient (PC1),213.16939213000612,0.2694857213828898
zotu,RF,Organic-Depth Gradient (PC2),137.9729633693037,0.17442346292490113
zotu,RF,Sediment Gradient (PC1),66.60804262593508,0.08420494254637284
zotu,RF,Sediment Gradient (PC2),22.373839596271477,0.028284690609002155
zotu,RF,Trace Element Gradient (PC1),72.38099611829362,0.0915030284528585
zotu,RF,Trace Element Gradient (PC2),72.47049883240418,0.09161617651429829
zotu,XGBoost,Major Element Gradient (PC1),230.40079752604166,0.16885078578032042
zotu,XGBoost,Major Element Gradient (PC2),131.38602701822916,0.09628714023906504
zotu,XGBoost,Organic-Depth Gradient (PC1),213.81888326009116,0.15669861754300698
zotu,XGBoost,Organic-Depth Gradient (PC2),281.07327524820965,0.20598645446157476
zotu,XGBoost,Sediment Gradient (PC1),166.0989227294922,0.12172672109335696
zotu,XGBoost,Sediment Gradient (PC2),90.6619987487793,0.06644226015500465
zotu,XGBoost,Trace Element Gradient (PC1),152.38976542154947,0.11167987225998642
zotu,XGBoost,Trace Element Gradient (PC2),98.69342931111653,0.07232814846768483
