Target,Fold,Group,PC,ExplainedVarianceRatio
Monothalamida,0,Trace,PC1,0.3675861484718488
Monothalamida,0,Trace,PC2,0.2446312414932678
Monothalamida,0,Organic,PC1,0.35224152948027193
Monothalamida,0,Organic,PC2,0.21460662987001683
Monothalamida,1,Sediment,PC1,0.6166697238849834
Monothalamida,1,Sediment,PC2,0.2788853938050526
Monothalamida,1,Major,PC1,0.5399941571749127
Monothalamida,1,Major,PC2,0.20562171618413752
Monothalamida,1,Trace,PC1,0.3798725677146045
Monothalamida,1,Trace,PC2,0.26297549831042444
Monothalamida,1,Organic,PC1,0.3866711237265266
Monothalamida,1,Organic,PC2,0.20157491482526682
Monothalamida,2,Sediment,PC1,0.6060468833643767
Monothalamida,2,Sediment,PC2,0.33488904231829286
Monothalamida,2,Major,PC1,0.4984972548629905
Monothalamida,2,Major,PC2,0.24038998510052503
Monothalamida,2,Trace,PC1,0.4403229273337855
Monothalamida,2,Trace,PC2,0.2281246206123667
Monothalamida,2,Organic,PC1,0.3573020246001942
Monothalamida,2,Organic,PC2,0.1874184633941196
Monothalamida,3,Sediment,PC1,0.6108369241501829
Monothalamida,3,Sediment,PC2,0.28016890042184867
Monothalamida,3,Major,PC1,0.5202710838569543
Monothalamida,3,Major,PC2,0.24169111848949884
Monothalamida,3,Trace,PC1,0.36685655847233695
Monothalamida,3,Trace,PC2,0.2361855583611644
Monothalamida,3,Organic,PC1,0.3704224230394601
Monothalamida,3,Organic,PC2,0.19860221865708458
Monothalamida,4,Sediment,PC1,0.6142934048447951
Monothalamida,4,Sediment,PC2,0.27962774628114445
Monothalamida,4,Major,PC1,0.473970199045372
Monothalamida,4,Major,PC2,0.28099185026408635
Monothalamida,4,Trace,PC1,0.31535618897024614
Monothalamida,4,Trace,PC2,0.26546308165623106
Monothalamida,4,Organic,PC1,0.36007100527748304
Monothalamida,4,Organic,PC2,0.21779511085493342
Miliolida,0,Sediment,PC1,0.6079485491620205
Miliolida,0,Sediment,PC2,0.2517391127520033
Miliolida,0,Major,PC1,0.5350120711480384
Miliolida,0,Major,PC2,0.22424818176769198
Miliolida,0,Trace,PC1,0.3675861484718488
Miliolida,0,Trace,PC2,0.2446312414932678
Miliolida,0,Organic,PC1,0.35224152948027193
Miliolida,0,Organic,PC2,0.21460662987001683
Miliolida,1,Sediment,PC1,0.6166697238849834
Miliolida,1,Sediment,PC2,0.2788853938050526
Miliolida,1,Major,PC1,0.5399941571749127
Miliolida,1,Major,PC2,0.20562171618413752
Miliolida,1,Trace,PC1,0.3798725677146045
Miliolida,1,Trace,PC2,0.26297549831042444
Miliolida,1,Organic,PC1,0.3866711237265266
Miliolida,1,Organic,PC2,0.20157491482526682
Miliolida,2,Sediment,PC1,0.6060468833643767
Miliolida,2,Sediment,PC2,0.33488904231829286
Miliolida,2,Major,PC1,0.4984972548629905
Miliolida,2,Major,PC2,0.24038998510052503
Miliolida,2,Trace,PC1,0.4403229273337855
Miliolida,2,Trace,PC2,0.2281246206123667
Miliolida,2,Organic,PC1,0.3573020246001942
Miliolida,2,Organic,PC2,0.1874184633941196
Miliolida,3,Sediment,PC1,0.6108369241501829
Miliolida,3,Sediment,PC2,0.28016890042184867
Miliolida,3,Major,PC1,0.5202710838569543
Miliolida,3,Major,PC2,0.24169111848949884
Miliolida,3,Trace,PC1,0.36685655847233695
Miliolida,3,Trace,PC2,0.2361855583611644
Miliolida,3,Organic,PC1,0.3704224230394601
Miliolida,3,Organic,PC2,0.19860221865708458
Miliolida,4,Sediment,PC1,0.6142934048447951
Miliolida,4,Sediment,PC2,0.27962774628114445
Miliolida,4,Major,PC1,0.473970199045372
Miliolida,4,Major,PC2,0.28099185026408635
Miliolida,4,Trace,PC1,0.31535618897024614
Miliolida,4,Trace,PC2,0.26546308165623106
Miliolida,4,Organic,PC1,0.36007100527748304
Miliolida,4,Organic,PC2,0.21779511085493342
Other,0,Sediment,PC1,0.6079485491620205
Other,0,Sediment,PC2,0.2517391127520033
Other,0,Major,PC1,0.5350120711480384
Other,0,Major,PC2,0.22424818176769198
Other,0,Trace,PC1,0.3675861484718488
Other,0,Trace,PC2,0.2446312414932678
Other,0,Organic,PC1,0.35224152948027193
Other,0,Organic,PC2,0.21460662987001683
Other,1,Sediment,PC1,0.6166697238849834
Other,1,Sediment,PC2,0.2788853938050526
Other,1,Major,PC1,0.5399941571749127
Other,1,Major,PC2,0.20562171618413752
Other,1,Trace,PC1,0.3798725677146045
Other,1,Trace,PC2,0.26297549831042444
Other,1,Organic,PC1,0.3866711237265266
Other,1,Organic,PC2,0.20157491482526682
Other,2,Sediment,PC1,0.6060468833643767
Other,2,Sediment,PC2,0.33488904231829286
Other,2,Major,PC1,0.4984972548629905
Other,2,Major,PC2,0.24038998510052503
Other,2,Trace,PC1,0.4403229273337855
Other,2,Trace,PC2,0.2281246206123667
Other,2,Organic,PC1,0.3573020246001942
Other,2,Organic,PC2,0.1874184633941196
Other,3,Sediment,PC1,0.6108369241501829
Other,3,Sediment,PC2,0.28016890042184867
Other,3,Major,PC1,0.5202710838569543
Other,3,Major,PC2,0.24169111848949884
Other,3,Trace,PC1,0.36685655847233695
Other,3,Trace,PC2,0.2361855583611644
Other,3,Organic,PC1,0.3704224230394601
Other,3,Organic,PC2,0.19860221865708458
Other,4,Sediment,PC1,0.6142934048447951
Other,4,Sediment,PC2,0.27962774628114445
Other,4,Major,PC1,0.473970199045372
Other,4,Major,PC2,0.28099185026408635
Other,4,Trace,PC1,0.31535618897024614
Other,4,Trace,PC2,0.26546308165623106
Other,4,Organic,PC1,0.36007100527748304
Other,4,Organic,PC2,0.21779511085493342
